,travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min)
destination,4,6,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,4,6,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,4.83,,,,,,,,,,,,4.74,,,,,3.57,2.17,4.26,,,,5.91,,,,,,7.53,7.02,,9.68,,,,,,,,,,,,9.85,,,,,8.43,4.4,7.57,,,,12.4,,,,,,10.7,9.88
1,1.26,,,,,,,,5.02,,3.75,,,,1.66,,,2.07,,,,,,,,,,,,2.96,,,3.93,,,,,,,,8.13,,6.03,,,,3.3,,,5.05,,,,,,,,,,,,4.77,,
2,,,,2.17,3.81,5.4,4.99,3.84,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,8.13,11.32,9.92,9.57,5.52,,,,,,,,,,,,,,,,,,,,,,,
3,,,1.67,,,,,,,,,,,,,,1.42,,1.67,1.32,4.14,3.05,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,2.8,,4.62,2.27,7.47,5.08,,,,,,,,,,
4,,1.25,,,,,,,,,,,,2.15,1.6,,1.63,1.7,,,,,,,,,,,,,,,,4.95,,,,,,,,,,,,6.52,3.62,,4.65,4.75,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,2.97,1.38,,,,,,,,,1.84,,,,,2.12,2.71,,,,,,,,,,,,,,,,7.92,4.0,,,,,,,,,6.53,,,,,6.55,6.82,,
6,,,,,,,,,,,,,,1.22,2.71,,1.49,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,7.43,,3.57,,5.68,,,,,,,,,,,,,
7,,,,,,,,,,,,6.71,3.78,,,,,,,,,,3.19,,,,5.25,,,,,,,,,,,,,,,,,10.48,6.43,,,,,,,,,,4.53,,,,7.68,,,,,
8,,,,,,,,,,,,,,,,,1.01,1.45,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.8,,,,6.7,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,8.08
10,,,,,2.49,,,,3.53,,,,,,,,,,,,,,,,,,,,2.25,1.31,,,,,,,6.1,,,,6.57,,,,,,,,,,,,,,,,,,,,4.45,3.25,,
11,,,,,,4.57,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,9.67,,,,,,,,,,,,,,,,,,,,,,,3.77,,,
12,,,,,,,2.71,,,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,,,,,10.37,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,2.59,,,,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,7.3,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,4.13,,,7.05,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22,,,13.15,7.77,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,2.8,7.76,,6.41,,,,,,,,,,,,,,,,,3.09,,,,,,,,,,,,4.68,12.22,,8.8,,,,,,,,,,,,,,,,,5.77,,
16,,,,,,,,,,,8.79,,6.74,,,9.15,,,,,,,,,,,6.56,,,,,,,,,,,,,,,,13.2,,10.18,,,12.98,,,,,,,,,,,10.12,,,,,
17,,,,,,,,,,,,,,,,4.47,,3.76,,,,3.33,,,,,,,,5.71,,,,,,,,,,,,,,,,,,7.93,,7.42,,,,5.57,,,,,,,,8.77,,
18,,,,,,,,,,,,,4.62,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,6.2,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,6.04,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,,,,6.83,,,,,
20,,,,,,,,,,,,,,,2.69,,,,,,,,,1.73,1.9,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,5.02,4.22,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18,10.77,,,,,
23,,,,,,,,,,,,,,,,,,1.99,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,5.22,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63,,,,6.55,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13,5.82,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55
