"geoid1","geoid2","geoid3","geoid4","geoid5"
0,0,0,0,0
261390244001,260210008002,260210009001,260210104003,260210021003
260210003001,260210020003,260210020003,260210021003,260210025002
260210021003,260210009002,260210017002,260210101002,260210020001
260210016001,260210021003,260210016001,260210111001,260210003002
260210021003,260210023002,260210020003,260210014002,261590114001
260210014002,260210020003,260210206002,260210020003,260210008001
260210008001,260210213001,260210008003,260210017002,260210014002
260210008003,260210023002,260210206002,260210023002,260210008002
260210213001,260210015001,260210023002,260210021003,260210024002
260210008003,260210206002,260210021003,260210008002,260210014002
260210003002,260210003002,260210011001,260210021003,260210022001
260210111002,260210020003,260210101002,260210213003,260210101002
260210015002,260210021001,260210017002,260210023001,260210101002
260210014002,260210005001,260210021003,260210021001,260210020003
260210113001,260210009002,260210021003,260210023002,260210021001
260210113001,260210023002,260210014002,260210113001,260210024002
260210214004,260210004002,260210013002,260210003002,260210015001
260210021003,260210008002,260210011002,260210004002,261590118003
260210024002,260210009001,260210025002,260210023002,260210021003
260210206002,260210024002,261590105003,260210206002,260210017001
260210017001,261590105003,260210009002,260210008001,260210015001
260210017001,260210009001,260210004002,260210206002,260210004002
260210004002,260210009001,260210011002,260210213001,260210008003
260210024002,260210020003,260210005001,260210020003,260210014002
260210101004,260210006001,260210013001,260210020003,260210020001
260210206002,260210213001,260210025002,260210025002,260210011001
260210213003,260210023002,260210017002,260210010001,260210014003
260210021002,260210214001,260210014002,260210021003,260210014001
260210010002,260210021003,260210009001,260210004002,260210004002
260210003001,260210116001,260210021003,260210111001,260210024002
260210004002,260210004002,260210020003,260210009001,260210106001
260210111001,260210003001,260210003001,260210024002,260210018002
260210005001,260210020001,260210016001,260210020003,260270021003
260210020003,260270021003,260210024002,260210007002,260270021003
260210006003,260210021003,260210020001,260210007002,260210020003
260210021001,260210005001,260210020003,260210005001,260210009002
0,0,0,0,0
0,0,0,0,0
260210025002,260210004002,260210020003,260210021003,260210025002
0,0,0,0,0
261590114001,260210102007,260210005001,260210023002,260210020003
260210014002,260210003001,260210021003,260210014001,260210014003
260210003001,260210016001,260210014002,260210017003,261590113005
260210005001,260210014003,260210021003,260210017002,261590113005
260210003001,260210013001,260210014003,260210020003,260210017002
260210014003,260210021003,260210005001,260210017002,260210003001
260210004002,260210015001,260210021003,260210025002,260210017002
260210015002,260210017002,260210004002,260210004002,260210025002
260210014001,260210018002,261590113005,260210018002,260210017002
261590113005,260210013001,260210003001,260210005001,260210003001
260210015001,260210013001,260210014001,260210016001,260210014001
260210021003,260210113001,260210005001,260210021003,261590114001
260210005001,260210021003,260210021003,260210020003,260210023002
260210005001,260210111001,260210014003,260210111001,260210014001
260210017002,260210014003,260210016001,260210013001,260210020003
260210013001,260210018002,260210016001,260210111003,260210021003
260210016001,260210003001,260210021003,260210017003,260210111003
260210023002,260210008001,260210015001,260210213001,260210021003
260210025002,260210017002,260210021003,260210014002,260210011001
260210014002,260210021001,260210023002,261590114001,260210020003
260210021003,260210020003,260210014002,260210021003,260210024002
260210021001,260210009002,260210024002,260210020003,260210113001
260210015001,260150106004,260210016001,260210016001,260210018002
260210015002,260270022002,260210008002,260210025002,260210022003
260210111001,260210017002,260210018002,260210113001,260210102007
260210014003,260210105001,260210016001,260210014003,260210015002
260210018002,260270022002,260210008003,260210017003,260210004002
260210007003,260210016001,260210014003,260210111001,260210020003
260210113001,260210105001,260270019002,260210016001,260270022002
260210024002,260210023002,260210008002,260210011001,260210004002
260210206002,260210009001,260210008002,260210025002,260210213001
260210011001,260210009001,260210023002,260210017002,260210025002
260210008001,260210009001,260210017002,260210009002,260210206002
260210004002,260210213002,260210003001,260210111001,260210017001
260210021003,260210010002,260210017001,260770006002,260210016001
260210021003,260210008003,260210008002,260210008002,260210024001
260210008003,260210008003,260210020003,260210021003,260210024001
260210004002,260210024001,260210008002,260210020003,260210021003
260210020003,260210008002,260210021003,260210008003,260210024001
260210020003,260210020003,260210008003,260210004002,260210024001
260210024001,260210008003,260210004002,260210020003,260210021003
260210008003,260210021003,260210020003,260210024001,260210020003
260210020003,260210008003,260210004002,260210008002,260210008003
260210111001,260210008001,260210008002,260210102007,260210016001
260210016001,260210105001,260210011001,260210020003,260210008003
260210017003,260210011001,260210105001,260210016001,260210014003
260210023002,260210008003,260210111001,260210008003,260270019002
260210018002,260210016001,260210008003,260210111001,260210020003
260210111001,260270022002,260210008003,260150106004,260210017001
260210022003,260210111001,260210016001,260210015002,260210022003
260210016001,260210011001,260210111003,260210014002,260210110003
260210014002,260210015001,260210111001,260210016001,260210021003
260210018001,260210009001,260210024002,261590105003,260210111002
260210020002,260210020002,260210213004,260210020003,260210008003
260210025002,260210020001,260210021003,260210014003,260210018002
260210025001,260210024002,261590105003,260210020003,260210015001
260210025001,260210025001,260210004002,260210024002,261590105003
260210004002,260210008002,260210008003,260210015002,260210105001
260210008003,260210017001,260210016001,260210102007,260210024002
260210102007,260210020003,260210008001,260210017001,260210111001
260210007003,260210018002,260210017002,260210016001,260210014003
260210017002,260210023002,260210015001,260210113001,260270019002
260210007003,260210020003,260210017002,260210017002,260210111001
260210015002,260210008001,260210007003,260210105001,260210017002
260210023002,260210022003,260210015001,260210015001,260210004002
260210111001,260210015001,260210102007,260210008002,260210113001
260210017002,260210020003,260210008001,260210004002,260210021003
260270019002,260210021003,260210025002,260210024002,260210021003
260210008002,260210017002,260210020003,260210015001,260210024002
260210008003,260210017002,260210017002,260210024002,260210021003
260210021003,260770006004,260210016001,260210005001,260210025002
260210021003,260210004002,260210021003,260210005001,260210009002
260210024002,260210009002,261590118007,260210020003,260210004002
260210021003,260210004002,261590118007,260210021003,260210025002
260210013001,260210016001,260210009002,260210020003,260210025002
260210004002,260210020003,260210005001,260210004002,260210014003
260210025002,260210025001,260210005001,260210005001,260210021003
260210005001,260210024002,260210009001,260770006004,260210025001
260210004001,260210020001,260210021003,260210022002,260210022003
260210004001,260210020001,260210022002,260210022002,260210022003
260210004001,260210020001,260210021003,260210020001,260210022003
260210004001,260210020001,260210021003,260210022002,260210022003
260210024002,260210008001,260210009001,260210011001,260210009002
260210008003,260210021003,260210018002,260210011001,260210024002
260210008003,260210009001,260210010002,260210011001,260210008003
260210022003,260210020001,260210021003,260210022002,260210022003
260210004001,260210020001,260210021003,260210022003,260210022003
260210004001,260210020001,260210021003,260210022002,260210022003
260210004001,260210020001,260210021003,260210022003,260210022003
260210023002,260210102007,260210021003,260210023002,260210014002
260210004002,260210004002,260770019063,260210021003,260210008002
260210004002,260210008002,260210021003,260770019063,260210214002
260210014003,260210025002,260210025002,260210014001,260210016001
260210014003,260210014002,260210014001,260210011002,260210025002
260210021003,260210103002,260210009001,261390244001,261390244001
260210101001,260210104003,260210009001,261390244001,260210021003
260210008001,260210009002,260210018002,260210009002,260210008003
260210011001,260210008001,260210021003,260210024002,260210009002
260210018002,260210011001,260210008003,260210021003,260210010002
260210009001,260210008002,260210018002,260210021001,260210009001
260210018002,260210009001,260210004002,260210008002,260210004002
260210004002,260210004002,260210018002,260210020001,260210010002
261590118003,260210009001,260210103002,260210101001,260210004002
260210011002,260210009001,260210111001,260210020003,260210015002
260210020003,260210011002,260210110003,260210008001,260210111002
260210113004,260210022002,260210018001,260210008002,260210021003
260210014003,260210004002,260210020003,260210106001,260210008001
260210021003,260210024002,261590118007,260210025001,260770006004
260210016001,260210017003,260210014003,260210016001,260210014001
260210016001,260210018002,260210025002,260210013001,260210011002
260210011001,260210011001,260210015001,260210102007,260810116001
260210015001,260210004002,260210102007,260210008002,260210015001
260210101001,260210008002,260210021003,260210004002,260210015001
260210008002,260210101001,260210015001,260210011001,260210004002
260210101001,260210102007,260210011001,260810116001,260210015001
260210004002,260210102007,260210011001,260210011001,260210021003
260210021003,260210004002,260810116001,260210102007,260210011001
260210011001,260210015001,260210011001,260210004002,260210101001
260210020001,260210010002,260210008003,260210021003,260210111002
260210009002,260210004002,260210020001,260210025002,260210016001
260210022001,260210021001,260210008001,260210021003,260210004002
260770019063,260210214002,260210021003,260210008002,260210004002
260210214002,260210004002,260770019063,260210214002,260210015001
260770006002,260210020001,260210025002,260210004001,260210010002
260210024002,260770006002,260210009002,260210008001,260210025002
260210025002,260210014003,260210021003,260210111001,260210016001
260210104003,260210101001,260210021003,260210010001,260210021003
260210009001,260210104003,260210101001,260210101001,260210104001
260210009001,260210101001,260210104003,260210104001,260210004002
260210103002,260210021003,260210009001,260210104003,261590118003
260210013001,260210014001,260210017003,260210017003,260210014003
260210014001,260210014003,260210013001,260210014001,260210011002
0,0,0,0,0
260210014001,260210021002,260210015001,260210007003,260210101001
0,0,0,0,0
260210008003,260210011002,260210021003,260210025002,260210008001
260210025002,260210014003,260210111001,260210014002,260210016001
261614002002,260210011001,260210025002,260210011002,260210004002
260210014003,260210016001,260210009001,260210025002,260210005001
260210016001,260210014003,260210004002,260210005001,261590118007
260210013001,260210020003,260210013001,260210009002,260770006004
260210014003,260770006004,260210009001,260210013001,260210004002
260210015001,260210024002,260210111001,260210017003,260210106001
260210010002,261590105003,260210011002,260210011001,260210021003
260210010001,260210006003,260210014003,260210213004,260210101001
260210024001,260210101003,260210008002,260210020001,260210111002
260210010002,260210003002,260210017001,260210025001,260210213003
260210015001,260210021003,260210021003,260210017002,260210009001
260210009001,260210017002,260210017002,260210021003,260210015001
260210015001,260210014002,260210017002,260210021003,260210024002
260210017002,260210014002,260210017002,260210024002,260210009001
260210111001,260210004002,260210025002,260210025002,260210021003
260210021003,260210003002,260210111001,260210025002,260210004002
260210009001,260210004002,260210011001,260210021003,260210005001
260210004002,260210021003,260210005001,260210018002,260210021003
260210018002,260210004002,260210005001,260210009001,260210009001
260210021003,260210009001,260210004002,260210009001,260210018002
260210014003,260210020003,260210021003,260210020003,260210025001
260210025001,260210025002,260210020003,260210020003,260210024002
260210020003,260210020003,260210025001,260210018002,260210014003
260210020003,260210020003,260210021003,260210024002,260210018002
260210006001,260210110002,260210014002,260210003001,260210021002
260210014001,260210021003,260210008003,260210007001,260210025001
260210021003,260210111003,260210014002,260210004001,260210213004
260210111001,260210014002,260210021003,260210004002,260210018002
260210016001,260210021003,260210004002,260210021003,260210025002
260210009001,260210014003,260210014003,260210018001,260210021001
260210024002,260210008002,260210011002,260210017002,260210111003
261590118003,260210004002,260210011001,260210015002,260210009001
260210017001,260210025002,260210004002,260210008001,260210008003
260210011002,260210021003,260210025002,260210004002,260210017001
260210004002,260210003002,260210025002,260210020003,260210021003
260210214002,260770019063,260210015001,260210015001,260210021003
260210014003,260210009001,260210021003,260210020003,260210025002
260210021003,260210021003,260210020003,260210014003,260210009001
260210014003,260210024001,260210025002,260210021003,260210014003
260210024002,260210011001,260210016001,260210014003,260210113002
260210017002,260210004002,260210014003,260210008002,260210113002
260210020003,260210020003,260210009001,260210017002,260210024001
260210020003,260210020003,260210014003,260210024001,260210021003
260210021003,260210025002,260210014003,260210025001,260210024002
261614002002,260210014002,260210021003,260210014002,260210011001
260210017002,260210025002,260210009001,260210017002,260210021003
260210009002,260210021003,260210008001,260210008003,260210011001
260210024002,260210008001,260210008003,260210024002,260210021003
260770019063,260210021003,260210015001,260210004002,260210214002
260210023001,260210019001,260210025002,260210010002,260210019002
260210013001,260210025002,260210021003,260210019002,260210021003
260210023001,260210011001,260210019001,260210021003,260210025002
260210025002,260210022003,260210011001,260210113001,260210010002
260210021003,260210202004,260210021003,260210019001,260210025002
260210022003,260210021003,260210019001,260210021003,260210011001
260210019001,260210015002,260210011001,260210023001,260210015002
260210113001,260210022003,260210019001,260210021003,260210011001
260210021003,260210014003,260210024002,260210024002,260210025001
260210011001,260210021003,260210009001,260210009001,260210008003
260210008003,260210009001,260210018002,260210009002,260210010002
260210011001,260210014003,260210011001,260210008001,260210008002
260210011001,260210024002,260210016001,260210008001,260210004002
260210008002,260210018002,260210014003,260210017002,260210016001
260210021003,260210021003,260210013001,260210015002,260210202004
260210015002,260210025002,260210113001,260210021003,260210010002
260210004002,260210024002,260210007002,261590105003,260210004002
260210004002,260210004002,260210025001,260210024002,260210015001
260210025002,260210022003,260210021003,260210024002,260210021003
260210022003,260210025002,260210023001,260210021003,260210202004
260210021003,260210015002,260210022002,260210011001,260210022003
260210009001,260210009001,260210014002,260210021003,260210015001
260210014002,260210021003,260210017002,260210014002,260210024002
260210004002,260210004002,260210015001,260210014003,260210017001
260210017002,260210004002,260210004002,260210016001,260210017001
260210016001,260210017002,260210016001,260210014003,260210017001
260210016001,260210015002,260210020002,260210113001,260210009001
260210016001,260210009001,260270022002,260210020002,260210020003
260210024002,260210113001,260210013001,260210024002,260210022002
260210011001,260210015002,260210024002,260210019001,260210015002
260210004002,260210015001,260210016001,260210017001,260210017002
260210004002,260210016001,260210015001,260210018002,260210018002
260210017002,260210004002,260210016001,260210018002,260210017001
260210015001,260210016001,260210015001,260210017002,260210004002
260210017002,260210014003,260210015001,260210017002,260210004002
260210014003,260210015001,260210018002,260210017001,260210004002
260210018002,260210018002,260210015001,260210004002,260210017001
260210004002,260210016001,260210017002,260210017001,260210014003
260210018002,260210016001,260210015001,260210017001,260210017002
260210017002,260210018002,260210004002,260210018002,260210015001
260210018002,260210004002,260210017002,260210017001,260210017002
260210015002,260210010002,260210014003,260210024002,260210014002
260210016001,260210015002,260210004002,260210010002,260210009002
260210004001,260210004002,260210025002,260210008003,260770006002
260210004001,260210014003,260210021003,260210017001,260770006002
260770006002,260210008003,260210004001,260210004001,260210025002
260210025002,260210009002,260210111002,260210009002,260210008003
260210010001,260210103002,260210104001,260210104001,260210104003
260210009001,261390244001,260210008002,260210011002,260210103002
260210004002,261390244001,260210103002,260210021003,260210101001
260210011002,260210011002,260210004002,260210009001,261390244001
260210018002,260210008001,260210016001,260210009002,260210017001
260210018002,260210025002,260210009002,260770006002,260210021003
260210004002,260210020001,260210004002,260210025002,260210008003
260210111002,260210014002,260210004001,260210018002,260770006002
260210016001,260210111002,260210017003,260210008003,260210014003
260210017001,260770006002,260210021003,260210008003,260210018002
260210017003,260210018002,260210021003,260210015002,260210014002
260210014002,260210010002,260210017001,260210009002,260210004001
260210008002,260210004002,260210008002,260210018002,260210015002
260210016001,260210008002,260210008001,260210015002,260210014003
260210015002,260210017002,260210011001,260210018002,260210008002
260210015002,260210011001,260210113002,260210113002,260210016001
260210024001,260210004002,260210005001,260210017001,260210005001
260210003001,260210021003,260210024001,260210005001,260210010001
260210020003,261590114001,260210024001,260210025002,260210022003
260210009001,260210021003,260210025002,260210009001,260210020003
260210020003,260210015002,260210008003,260210022001,260210113001
260210113001,260210009001,260270022002,260210008003,260210021003
260210111001,260210016001,260210016001,260210024002,260210008002
260210014002,260210025001,260210016001,260210024002,260210004001
260210113002,260210004002,260210011001,260210008001,260210015002
260210008002,260210017002,260210008001,260210018002,260210015002
260210008001,260210013001,260210011002,260210014003,260210011002
260210018002,260210014003,260210013001,260210011002,260210008001
260210021003,260210017001,260210013001,260210014003,260210008002
260210021003,260210010002,260210009001,260210101003,260210024002
260210008002,260210024002,260210016001,260210024002,260210008001
260210016001,260210004002,260210017002,260210008002,260210011001
260210017003,260210011002,260210014001,260210016001,260210014002
260210017003,260210013001,260210014002,260210014001,260210014002
260210009002,260210021003,260210008001,260210018002,260210008003
260210008001,260210021003,260210018002,260210008003,260210009002
261614002002,260210022001,260210011001,260210021003,260210018002
260210015002,260210015001,260210009001,260210018001,260210025002
260210015001,260210018002,260210024002,260210020003,261590118003
260210017001,260210111001,260210018002,260210017002,260210023002
260210017002,260210014003,260210018002,260270022002,260210008001
261590118003,260210017003,260210008001,260210015001,260210011001
260150106004,260210008003,260210015002,260210004002,260150106004
260210016001,260210022003,260210007003,260270019002,260210113001
260210024002,260210014003,260210007003,260210017003,260210011001
260210008001,260270022002,260210015002,260210113001,260210021003
260210102007,260210105001,260210025002,260210113001,260210021003
260270022002,260210007003,260210023002,260210018002,260210111001
260150106004,260210018002,260210017003,260210014003,260210102007
260270019002,260210111001,260210021003,260210022003,260210018002
260150106004,260210017001,260210017002,260210024002,260210016001
260210014003,260210014003,260210020003,260210024002,260210018002
260210020003,260210003001,260210004002,260210018002,260210025002
260210017001,260210021003,260210003001,260210020003,260210025002
260810111023,260210021003,260210005001,260210020003,260210008001
260210015001,260210021003,260210025002,260210017002,260210014003
260210024002,260210014002,260210009001,260210110003,260210016001
260210020001,261590105003,260210024002,260210017003,260210015002
260210018001,260210020003,260210011001,260210004002,260210009001
260210008001,260210015002,260210017002,260210111002,260210014003
260210111002,260210111002,260210017002,260210016001,260210021003
260210016001,260210016001,260210111003,260210024002,260210018001
260210017002,260210111002,260210025002,260210017002,260210008001
260210020003,261590105003,260210007002,260210025001,260210020003
260210020003,260210025001,260210020003,260210015001,261590105003
260210024002,261590105003,260210020003,260210020003,260210025001
260210014002,261590105003,260210106001,260210011002,260210004002
260210017002,260210020001,260210008002,260210021003,260210110003
260210014002,260210009001,260210018001,260210014003,260210008002
260210015002,260210111002,260210016001,260210106001,260210014002
260210021003,260210014002,260210111001,260210021003,260210110003
260210004002,260210016001,260210008002,260210016001,260210008001
260210010002,260210009001,260210024002,260210021003,260210113004
260210016001,260210211002,260210018002,260210211002,260210214002
260210016001,260210017002,260210211002,260210211002,260210214002
260210016001,260210017002,260210018002,260210211002,260210214002
260210214002,260210017002,260210018002,260210211002,260210214002
260210016001,260210017002,260210018002,260210211002,260210214002
260210016001,260210018002,260210018002,260210211002,260210214002
260210016001,260210017002,260210018002,260210018002,260210214002
260210016001,260210017002,260210018002,260210018002,260210214002
260210025002,260210113001,260210016001,260210008003,260210024002
260210024002,260210113001,260210008003,260270022002,260210014003
260210008001,260210016001,260210014003,260210011001,260210024002
260210111002,260210014002,260210020001,260210021003,260210111003
260210106001,260210021003,260210011002,260210106001,260210014003
260210021003,260210017003,260210021003,260210015002,260210020001
260210004002,261590114001,260210022003,260810111023,260210017001
260210010001,260210025002,260210021001,260210021003,261590114001
260210021002,260210010002,260210018002,260210018002,260210007003
260210009002,260210024002,260210214002,260210020001,261590120004
260210024002,260210024002,260210025002,260210111001,260210014002
260210018002,260210015002,260210011001,260210004002,260210021003
260210016001,260210015002,260210014002,260210015002,260210004002
260210015002,260210018002,260210014003,260210111001,260210014002
260210015002,260210015002,260210021003,260210111001,260210014003
260210021003,260210025002,260210015002,260210015002,260210011001
260210004002,260210018002,260210024002,260210021003,260210024002
260210011001,260210009001,260210021003,260210018002,260210018002
260210022003,260810111023,261590114001,260210005001,260210018002
260210015001,260210014002,260210014002,260210008002,260210021003
260210008003,260210021003,260210009002,260210017001,261590105003
260210015001,260210015002,260210016001,260210017002,260210018002
260210015001,260210016001,260210016001,260210017002,260210018002
260210015001,260210015002,260210017002,260210017002,260210018002
260210015001,260210015002,260210018002,260210017002,260210018002
260210015001,260210015002,260210016001,260210017002,260210018002
260210015001,260210016001,260210016001,260210017002,260210018002
260210015001,260210015002,260210016001,260210017002,260210018002
260210015001,260210015002,260210016001,260210017002,260210018002
260210016001,260210015002,260210016001,260210017002,260210018002
260210003001,260210004002,260210021003,260210021003,260210025002
260210111001,260210018002,260210116001,260210020003,260210009001
260210021003,260210003001,260210010002,260210111001,260210009001
260210003001,260210024002,260210018002,260210009001,260210024002
260210020003,260210018002,260210003001,260210020003,260210021003
260210009001,260210010002,260210003001,260210106001,260210020003
260210020003,260210111001,260210010002,260210003001,260210018002
260210024002,260210020003,260210018002,260210106001,260210003001
260210021003,260210010002,260210010002,260210024002,260210116001
260210024002,260210010002,260210106001,260210111001,260210021003
260210018002,260210111001,260210020003,260210024002,260210010002
260210010002,260210004002,260210003001,260210106001,260210106001
260210020003,260210024002,260210020003,260210004002,260210021003
260210024002,260210020003,260210106001,260210018002,260210003001
260210106001,260210020003,260210003001,260210021003,260210004002
260210014003,260210024002,260210004002,260210025002,260210018002
260210011001,260210014003,260210111001,260210004002,260210025002
260210025002,260210004002,260210111001,260210016001,260210014003
260210003001,260210004002,260210020003,260210021003,260210025002
260210003001,260210004002,260210020003,260210004002,260210025002
260210004002,260210014003,260210018002,260210016001,260210014003
260210021003,260210020001,260210003001,260210004001,260210021001
260210021003,260210020001,260210021001,260210005001,260210004002
260210004001,260210021003,260210021003,260210021002,260210004002
260210005001,260210021003,260210004001,260210020001,260210021003
260210021003,260210004001,260210021001,260210005001,260210021003
260210021003,260210003001,260210005001,260210021001,260210021003
260210018002,260210004001,260210022002,260210101003,260210011001
260210021003,260210021002,260210005001,260210005001,260210020001
260210005001,260210003001,260210004002,260210020001,260210003001
260210014002,260210111001,260210016001,260210024002,260210015002
260210007003,260210016001,260210007001,260210018002,260210006001
260210014003,260210213003,260210015002,260210013002,260210019001
260210004001,260210021001,260210004001,260210021002,260210004002
260210021002,260210003001,260210021001,260210005001,260210021003
260210003001,260210004002,260210021003,260210020001,260210005001
260210016001,260210015002,260210016001,260210021003,260210024002
260210024002,260210113001,260210102007,260210024002,260210005001
260210009002,260210023002,261590114001,260210020003,260210113001
260210102007,260210023002,260210021003,260210021003,260210024002
260210003001,260210004002,260210020003,260210021003,260210025002
260210003001,260210004002,260210020003,260210020003,260210025002
260210024002,260210015002,260210016001,260210021003,260210024002
260210008003,261590105003,260210025002,260210011001,260210020003
260210025002,261590105003,260210206002,261590105003,260210014002
260210014002,261590105003,260210011001,260210009001,260210009002
260210102007,260210009002,260210005001,260210014002,260210024002
260210018002,260210116001,260210106001,260210021003,260210111001
260210021003,260210106001,260210018002,260210004002,260210009001
260210008003,260210015001,260210017002,260210008002,260210206002
260210021003,260210011001,260210011001,260210025002,260210015001
260210025002,260210017001,260210213001,260210004002,260210020003
260210016001,260210017002,260210018002,260210016001,260210214002
260210016001,260210017002,260210016001,260210211002,260210214002
260210102007,261590114001,260210020003,260210024002,260210021001
260210009002,260210014002,260210005001,260210113001,260210020003
260210021001,260210009002,260210005001,260210007002,260210009001
260210004002,260210006002,260210021003,260210022001,260210024002
260210004002,260210024002,260210021003,260210022001,260210024002
260210004002,260210006002,260210022001,260210022001,260210024002
260210004002,260210006002,260210021003,260210021003,260210024002
260210006002,260210006002,260210021003,260210022001,260210024002
260210004002,260210004002,260210021003,260210022001,260210024002
260210004002,260210006002,260210021003,260210022001,260210024002
260210008002,260770019063,260210008002,260210015001,260210004002
260210004002,260210008002,260210015001,260210214002,260770019063
260210021003,260210004002,260210008002,260210008002,260770019063
260210019001,260210015002,260210023001,260210022003,260210019001
260210019002,260210025002,260210202004,260210019001,260210010002
260210024002,260210010002,260210021003,260210113001,260210013001
260210022002,260210024002,260210019001,260210019001,260210011001
260210019001,260210015002,260210022003,260210021003,260210013001
260210021003,260210019001,260210202004,260210013001,260210019002
260210021002,260210004002,260210003001,260210021002,260210021003
260210020001,260210004001,260210004002,260210021003,260210005001
260210021002,260210020001,260210004001,260210004002,260210021001
260210007002,260210009001,260210021003,260270021003,260210009001
260210023002,260210020003,260210008001,260210009001,260210005001
260210021003,260210101001,260210004002,260210102007,260210021003
260210021003,260210101001,260210021003,260810116001,260210015001
260210008001,260210020003,260210021001,260210021003,260210006003
260210021003,260210021003,260210016001,260210023002,260210005001
260210022002,260210007002,260210021003,260210020001,260210006003
260210014003,260210004002,260210025002,260210015002,260210015001
0,0,0,0,0
260210004002,260210018002,260210004002,260210021003,260210024002
260210020001,260210018002,260210020001,260210021003,260210024002
260210004002,260210018002,260210020001,260210021003,260210024002
260210004002,260210018002,260210020001,260210021003,260210024002
260210004002,260210018002,260210024002,260210021003,260210024002
260210004002,260210018002,260210004002,260210021003,260210024002
260210020001,260210017002,260210010002,260210018002,260210024002
260210021003,260210021003,260210009001,260210008002,260210024002
260210017003,261590113005,260210015001,260210014001,260210021003
260210111003,260210017002,260210017002,260210014003,260210021003
260210014003,260210014001,260210013001,260210017002,260210017003
261590113005,260210014003,260210017002,260210014002,260210111001
260210020003,260210003001,260210016001,260210016001,260210021003
260210014003,260210020003,260210013001,260210020003,260210003001
260210006003,260210018002,260210022002,260210022002,260210101001
260210021003,260210018002,260210021003,260210022002,260210101001
