"dist1","dist2","dist3","dist4","dist5"
5,5,5,5,5
68.42,3.23,9.87,4.52,6.9
2.82,3.94666666666667,3.94666666666667,4.39,4.35
3.58779224,5.777142524,11.05269627,13.29739991,7.807605401
5.19,3.27,5.19,12.09,3.77
0.62625,4.13,0.555,2.36,15.8
0.81,3.7,30.75,3.7,2.71
2.71,17.55,3.81,2.86,0.81
3.81,2.57,30.75,2.57,1.845
17.55,7.87,2.57,5.11,7.08
3.81,30.75,5.11,1.845,0.81
1.10666666666667,1.10666666666667,4.62,2.50666666666667,6.95
8.462558282,11.61485955,12.49626097,5,7.424961357
4.594973311,11.20180409,6.598628485,7.424961357,12.34524053
2.36,2.44,0.62625,1.35,0.555
29.24,4.5,0.62625,4.13,1.35
29.24,4.13,2.36,29.24,5.24
12.78194435,14.20323477,13.95995831,15.22073069,14.08528963
6.9,3.23,10.04,6.08,29.42
7.08,5.22,0.38,2.57,5.11
30.75,7.08,22.69,30.75,7.11
7.11,22.69,3.55,2.71,7.87
7.11,5.22,2.756,30.75,2.756
2.756,5.22,5.115,17.55,3.81
5.24,0.555,2.44,0.555,2.36
11.07143424,6.127232744,4.254328448,2.511177733,4.48317827
30.75,17.55,0.38,0.38,6.1
12.78194435,1.877148435,6.184182164,3.331450341,6.184182164
2.812614789,3.530412865,11.96308426,2.812614789,3.282683728
2.65,3.02,2.07,1.10333333333333,1.10333333333333
1.45,23.02,3.02,13.28,4
1.10333333333333,1.10333333333333,2.052,2.07,10.025
13.28,1.45,1.45,4,4.76
0.92,8.44,8.19,1.93,30.5
1.93,30.5,7.115,0.16,30.5
0.24,2.22714285714286,8.44,0.16,1.93
2.33,0.92,1.93,0.92,2.98
5,5,5,5,5
5,5,5,5,5
4.35,1.465,3.94666666666667,4.39,4.35
5,5,5,5,5
15.8,10.44,2.44,4.13,0.555
2.55,8.73,6.78666666666667,1.19666666666667,2.87666666666667
8.73,1.03,2.55,0.69,29.62
6.75,2.87666666666667,6.78666666666667,2.3225,29.62
8.73,2.11,2.87666666666667,5.76,2.3225
2.87666666666667,6.78666666666667,6.75,2.3225,8.73
2.492,3.19,2.95,3.375,0.5
6.37,0.5,2.492,2.492,3.375
1.19666666666667,2.48,29.62,2.48,2.3225
29.62,2.11,8.73,6.75,8.73
1.53,2.11,1.19666666666667,1.03,1.19666666666667
0.62625,29.24,2.44,0.62625,15.8
2.44,0.62625,0.62625,0.555,4.13
6.75,7.815,2.87666666666667,7.815,1.19666666666667
2.3225,2.87666666666667,1.03,2.11,5.76
2.11,2.48,1.03,8.45,6.78666666666667
1.03,8.73,6.78666666666667,0.69,8.45
2.57,2.71,7.87,17.55,5.11
0.38,2.86,5.11,0.81,6.1
2.36,1.35,4.13,15.8,0.555
0.62625,0.555,2.36,0.62625,5.24
1.35,4.5,5.24,0.555,29.24
2.62142857142857,76.88,1.43,1.43,3.995
1.868,24.05,6.86666666666667,10.89,8.03
5.74,1.455,3.995,22.67,15.33
1.68454545454545,18.72,1.43,1.68454545454545,1.868
3.995,24.05,4.9,0.695,7.76
7.2,1.43,1.68454545454545,5.74,7.12666666666667
22.67,18.72,24.8,1.43,24.05
7.08,2.57,1.845,6.1,2.756
30.75,5.22,1.845,0.38,17.55
6.1,5.22,2.57,2.86,0.38
2.71,5.22,2.86,3.55,30.75
4.626532148,14.67484553,4.151210925,4.362807994,5.84998061
5.75666666666667,4.83333333333333,2.91,55.95,2.21
0.27,5.5425,3.84,3.84,5.9
5.5425,5.5425,8.06,0.27,5.9
2.91,5.9,3.84,8.06,0.27
8.06,3.84,0.27,5.5425,5.9
8.06,8.06,5.5425,2.91,5.9
5.9,5.5425,2.91,8.06,0.27
5.5425,0.27,8.06,5.9,8.06
8.06,5.5425,2.91,3.84,5.5425
5.74,6.545,6.86666666666667,15.33,1.43
1.43,18.72,4.75,7.12666666666667,4.9
0.695,4.75,18.72,1.43,1.68454545454545
1.6,4.9,5.74,4.9,24.8
3.995,1.43,4.9,5.74,7.12666666666667
5.74,24.05,4.9,76.88,3.06
8.03,5.74,1.43,1.868,8.03
2.26444444444444,7.41,6.73,3.23,6.97
3.23,2.87,5.11,2.26444444444444,6.28
8.13,5.93666666666667,6.645,33.02,3.79333333333333
4.900743409,6.540444057,3.583482067,2.878825288,4.068665406
7.62,4.705,5.75666666666667,1.67,4.01666666666667
14.3,6.57,32.42,4.84875,9.205
14.3,14.3,8.4,6.57,32.42
7.76,6.86666666666667,4.9,1.868,18.72
4.9,3.06,1.43,15.33,9.93
15.33,7.12666666666667,6.545,3.06,5.74
7.2,3.995,1.455,1.43,1.68454545454545
1.455,1.6,2.62142857142857,22.67,24.8
7.2,7.12666666666667,1.455,1.455,5.74
1.868,6.545,7.2,18.72,1.455
1.6,8.03,2.62142857142857,2.62142857142857,7.76
5.74,2.62142857142857,15.33,6.86666666666667,22.67
1.455,7.12666666666667,6.545,7.76,4.805
24.8,4.805,10.89,9.93,4.805
6.86666666666667,1.455,7.12666666666667,2.62142857142857,9.93
4.9,1.455,1.455,9.93,4.805
1.07857142857143,51.36,4.94,2.105,5.39
1.07857142857143,1.81,1.07857142857143,2.105,4.1
2.68,4.1,30.66,0.24,1.81
1.07857142857143,1.81,30.66,1.07857142857143,5.39
7.78,4.94,4.1,0.24,5.39
1.81,0.24,2.105,1.81,6.38
5.39,8.71,2.105,2.105,1.07857142857143
2.105,2.68,3.26,51.36,8.71
1.12,2.39,2.035,1.92,0.166666666666667
1.12,2.39,1.92,1.92,0.166666666666667
1.12,2.39,2.035,2.39,0.166666666666667
1.12,2.39,2.035,1.92,0.166666666666667
4.38,2.46333333333333,2.56,2.73,3.47
1.94,1.876,4.98,2.73,4.38
1.94,2.56,0.89,2.73,1.94
0.166666666666667,2.39,2.035,1.92,0.166666666666667
1.12,2.39,2.035,0.166666666666667,0.166666666666667
1.12,2.39,2.035,1.92,0.166666666666667
1.12,2.39,2.035,0.166666666666667,0.166666666666667
4.13,10.44,0.62625,4.13,2.36
0.5375,0.5375,48.02,1.60333333333333,1.60333333333333
0.5375,1.60333333333333,1.60333333333333,48.02,13.3
0.485,8.05,8.05,2.01,0.61
0.485,2.60333333333333,2.01,3.82,8.05
6.9,5.69,9.87,68.42,68.42
7.65,4.52,9.87,68.42,6.9
2.46333333333333,3.47,4.98,3.47,1.94
2.73,2.46333333333333,1.876,4.38,3.47
4.98,2.73,1.94,1.876,0.89
2.79,4.33,5.6575,3.98,2.79
5.6575,2.79,1.74666666666667,4.33,1.74666666666667
1.74666666666667,1.74666666666667,5.6575,1.2,1.91
29.42,9.87,5.69,7.65,6.08
4.565,5.93666666666667,5.11,7.395,1.298
7.395,4.565,6.97,7.88,3.79333333333333
25,11.12,8.13,8.075,6.28
2.52,8.995,7.395,16.23,7.88
1.07857142857143,2.68,30.66,8.71,51.36
0.61,1.94,0.485,0.61,2.01
0.61,3.48,8.05,2.73,3.82
11.83,11.83,4.45,7.47,76.82
4.45,10.74,7.47,5.89,4.45
0.28,5.89,8.09666666666667,10.74,4.45
5.89,0.28,4.45,11.83,10.74
0.28,7.47,11.83,76.82,4.45
10.74,7.47,11.83,11.83,8.09666666666667
8.09666666666667,10.74,76.82,7.47,11.83
11.83,4.45,11.83,10.74,0.28
4.705,4.83333333333333,5.25,5.75666666666667,5.98
2.75,6.335,4.705,7.62,2.21
11.05,6.705,7.88,6.28,8.995
48.02,13.3,1.60333333333333,1.60333333333333,0.5375
13.3,0.5375,48.02,13.3,8.51
55.95,4.705,7.62,7.05,4.83333333333333
1.71,55.95,2.75,5.95,7.62
6.26,3.865,4.13,9.37,3.24
4.52,7.65,6.9,8.59,6.9
9.87,4.52,7.65,7.65,5.34
9.87,7.65,4.52,5.34,6.08
5.69,6.9,9.87,4.52,29.42
2.73,2.01,1.94,1.94,0.485
2.01,0.485,2.73,2.01,3.82
5,5,5,5,5
0.584807426,6.686311481,0.536185671,1.364819194,11.06582448
5,5,5,5,5
3.81,5.115,5.11,0.38,2.71
6.26,3.865,9.37,3.315,3.24
144.66,3.725,4.77,4.34,2.73
6.38,4.94,3.26,5.39,2.105
4.94,6.38,1.81,2.105,30.66
7.78,0.24,7.78,4.1,51.36
6.38,51.36,3.26,7.78,1.81
2.87,6.645,5.11,0.69,16.23
7.27,33.02,4.565,7.41,6.28
1.760294105,1.740150276,3.840792782,5.469106927,10.38916114
7.987396518,11.69068033,4.797148932,1.548991584,12.38262018
2.517099471,2.091988607,2.517099471,7.987396518,10.47134675
8.39,11.595,11.595,5.02,4.33
4.33,5.02,5.02,11.595,8.39
8.39,7.39,5.02,11.595,14.61
5.02,7.39,5.02,14.61,4.33
12.09,2.37,4.86,4.86,3.27
3.27,3.77,12.09,4.86,2.37
6.38,0.28,8.68,2.57,2.575
0.28,2.57,2.575,9.61,2.57
9.61,0.28,2.575,6.38,6.38
2.57,6.38,0.28,6.38,9.61
2.06,8.01,7.58,8.01,8.24
8.24,7.83,8.01,8.01,8.24
8.01,8.01,8.24,5.96,2.06
8.01,8.01,7.58,8.24,5.96
1.821142843,11.47396945,2.193478165,3.660239896,1.456698781
4.676452141,3.500910557,10.67176335,2.193478165,0
1.399866703,4.217872774,2.193478165,7.698481312,3.660239896
9.37,3.315,4.13,4.49,7.24
3.24,4.13,4.49,4.13,6.26
5.93666666666667,2.52,2.52,8.13,6.705
6.645,8.075,4.565,1.654,6.73
34.28,11.73,5.49,0.737142857142857,4.99
7.11,0.38,2.756,2.71,3.81
5.115,5.11,0.38,2.756,7.11
2.37,3.77,4.86,2.34,3.27
13.3,48.02,8.51,8.51,1.60333333333333
2.475,3.99,5.35333333333333,5.58,5.62
5.35333333333333,5.35333333333333,5.58,2.475,3.99
2.475,9.67,5.62,5.35333333333333,2.475
9.66666666666667,6.05,2.055,1.16666666666667,23.15
3.04,8.53,1.16666666666667,7.07333333333333,23.15
5.58,5.58,3.99,4.93,9.67
5.58,5.58,2.475,9.67,5.35333333333333
7.58,7.83,2.06,8.24,8.24
144.66,7.37,1,7.37,3.725
4.93,5.62,3.99,4.93,5.35333333333333
3.47,1.876,2.46333333333333,1.94,2.73
4.38,2.46333333333333,1.94,4.38,1.876
48.02,1.60333333333333,8.51,0.5375,13.3
7.81,4.41,7.4,4.6,5.5
9.31,7.4,2.52714285714286,5.5,2.52714285714286
7.81,2.76,4.41,2.52714285714286,7.4
7.4,9.81,2.76,30.66,4.6
2.52714285714286,26.03,2.52714285714286,4.41,7.4
9.81,2.52714285714286,4.41,2.52714285714286,2.76
4.41,9.89333333333333,2.76,7.81,9.89333333333333
30.66,9.81,4.41,2.52714285714286,2.76
7.58,2.06,8.24,8.24,8.24
2.73,1.876,2.56,2.56,1.94
1.94,2.56,4.98,3.47,0.89
6.05,1.16666666666667,6.05,6.53,7.07333333333333
6.05,9.66666666666667,2.055,6.53,8.53
7.07333333333333,7.98,1.16666666666667,3.04,2.055
2.52714285714286,2.52714285714286,9.31,9.89333333333333,26.03
9.89333333333333,7.4,30.66,2.52714285714286,4.6
8.4,6.57,6.01,32.42,8.4
8.4,8.4,14.3,6.57,9.205
7.4,9.81,2.52714285714286,1.22,2.52714285714286
9.81,7.4,7.81,2.52714285714286,26.03
2.52714285714286,9.89333333333333,3.765,2.76,9.81
4.33,4.33,7.39,11.595,8.39
7.39,11.595,5.02,7.39,14.61
5.875,5.875,2.3525,3.395,5.81
3.585,5.875,5.875,3.55,5.81
3.55,3.585,3.55,3.395,5.81
5.38,8.06,1.84,25.89,4.07
5.38,4.07,20.93,1.84,4.93
1.22,30.66,9.31,1.22,3.765
2.76,9.89333333333333,1.22,4.41,9.89333333333333
5.875,2.3525,3.55,5.81,3.585
5.875,3.55,2.3525,1.22333333333333,1.22333333333333
3.585,5.875,3.55,1.22333333333333,5.81
2.3525,3.55,2.3525,3.585,5.875
3.585,3.395,2.3525,3.585,5.875
3.395,2.3525,1.22333333333333,5.81,5.875
1.22333333333333,1.22333333333333,2.3525,5.875,5.81
5.875,3.55,3.585,5.81,3.395
1.22333333333333,3.55,2.3525,5.81,3.585
3.585,1.22333333333333,5.875,1.22333333333333,2.3525
1.22333333333333,5.875,3.585,5.81,3.585
2.04,4.83333333333333,1.67,1.71,1.16
2.21,2.04,6.335,4.83333333333333,2.75
7.05,6.335,7.62,5.25,55.95
7.05,1.67,5.75666666666667,2.91,55.95
55.95,5.25,7.05,7.05,7.62
7.62,2.75,5.98,2.75,5.25
8.59,5.69,5.34,5.34,4.52
9.87,68.42,3.23,10.04,5.69
6.08,68.42,5.69,6.9,7.65
10.04,10.04,6.08,9.87,68.42
4.01666666666667,5.95,2.21,2.75,2.91
4.01666666666667,7.62,2.75,55.95,5.75666666666667
6.335,4.705,6.335,7.62,5.25
5.98,1.16,7.05,4.01666666666667,55.95
2.21,5.98,2.755,5.25,1.67
2.91,55.95,5.75666666666667,5.25,4.01666666666667
2.755,4.01666666666667,5.75666666666667,2.04,1.16
1.16,4.83333333333333,2.91,2.75,7.05
7.07333333333333,8.53,7.07333333333333,7.98,2.62666666666667
2.055,7.07333333333333,6.53,2.62666666666667,1.16666666666667
2.62666666666667,3.04,6.05,7.98,7.07333333333333
2.62666666666667,6.05,23.15,23.15,2.055
5.17,1.28,0.43,8.39666666666667,0.43
1.35,4.68,5.17,0.43,2.35
0.55,14.65,5.17,2.87,2.75
4.07,0.43,6.44,4.07,4.93
4.93,8.06,5.84,4.51,25.89
25.89,4.07,20.93,5.84,0.43
16.02967273,13.35602032,15.28837911,6.732509673,8.207647958
9.373050245,11.07143424,14.18734814,6.732509673,12.22962982
23.15,8.53,6.05,6.53,2.62666666666667
7.07333333333333,3.04,6.53,7.98,2.62666666666667
6.83,2.73,3.82,0.485,3.82
3.48,0.485,2.73,3.82,6.83
9.817489592,11.9497956,10.62216383,2.124677109,7.187226312
9.817489592,4.18163589,14.93046349,13.84324518,10.96147848
7.07333333333333,9.66666666666667,2.055,9.66666666666667,6.53
2.055,8.53,3.04,7.07333333333333,6.05
1.94,3.82,2.01,0.61,2.60333333333333
1.94,2.73,2.60333333333333,2.01,2.60333333333333
3.47,1.876,2.46333333333333,4.98,1.94
2.46333333333333,1.876,4.98,1.94,3.47
144.66,4.38,3.725,1,4.56
0.737142857142857,3.31,4.99,5.03,11.38
3.31,5.495,9.75,6.19,34.28
3.06,5.74,3.995,1.455,1.6
1.455,1.68454545454545,3.995,24.05,6.545
34.28,0.21,7.53,3.31,5.49
76.88,4.9,1.868,7.76,76.88
1.43,8.03,7.2,24.8,22.67
9.93,1.68454545454545,7.2,0.695,4.75
6.545,24.05,1.868,22.67,4.805
15.33,18.72,10.89,22.67,4.805
24.05,7.2,1.6,3.995,5.74
76.88,3.995,0.695,1.68454545454545,15.33
24.8,5.74,4.805,8.03,3.995
76.88,3.06,1.455,9.93,1.43
1.68454545454545,1.68454545454545,7.12666666666667,9.93,3.995
0.55,1.35,1.28,9.47,2.87
8.39666666666667,4.68,1.35,0.55,2.87
86.41,4.68,0.43,0.55,2.01
3.19,2.95,3.375,0.5,7.1
6.645,3.23,5.93666666666667,6.97,2.26444444444444
7.26,33.02,6.645,0.69,1.298
8.13,7.395,7.41,8.995,5.93666666666667
7.53,0.737142857142857,1.745,5.24,2.29
5.24,5.24,1.745,2.31333333333333,3.06
2.31333333333333,2.31333333333333,7.01,9.75,5.03
1.745,5.24,11.38,1.745,7.53
4.84875,32.42,6.01,14.3,4.84875
4.84875,14.3,4.84875,9.205,32.42
6.57,32.42,4.84875,4.84875,14.3
3.23,33.02,16.23,4.565,8.995
1.654,7.26,8.075,6.28,6.97
3.23,5.93666666666667,8.13,2.52,8.075
1.298,3.79333333333333,2.26444444444444,16.23,3.23
6.28,3.23,5.11,6.28,6.97
8.995,2.26444444444444,8.075,2.26444444444444,7.88
7.27,5.93666666666667,6.645,6.28,25
1.52,24.32,3.77666666666667,24.32,8.47
1.52,0.38,24.32,24.32,8.47
1.52,0.38,3.77666666666667,24.32,8.47
8.47,0.38,3.77666666666667,24.32,8.47
1.52,0.38,3.77666666666667,24.32,8.47
1.52,3.77666666666667,3.77666666666667,24.32,8.47
1.52,0.38,3.77666666666667,3.77666666666667,8.47
1.52,0.38,3.77666666666667,3.77666666666667,8.47
6.44,25.89,5.38,5.84,3.36
3.36,25.89,5.84,20.93,4.55
7.53,2.31333333333333,2.29,5.49,9.75
3.79333333333333,3.23,7.26,6.28,6.73
16.23,6.28,4.565,16.23,2.52
6.28,0.69,6.28,1.298,7.26
1.28,14.65,2.75,86.41,8.39666666666667
2.35,2.87,1.37,4.68,14.65
1.54,2.85,6.2,6.2,2.22
4.25,3.2,12.36,1.395,23.19
3.81,3.81,6.26,9.37,3.315
7.24,6.23,3.94,4.49,4.13
3.24,6.23,3.315,6.23,4.49
6.23,7.24,3.865,9.37,3.315
6.23,6.23,4.13,9.37,3.865
4.13,6.26,6.23,6.23,3.94
1.3975,4.38,2.77,1.6,2.77
8.68,6.38,2.57,9.61,9.61
2.75,86.41,14.65,0.43,9.47
7.87,0.81,0.81,1.845,5.11
3.81,5.11,3.55,7.11,22.69
6.12,4.36,3.655,4.24,4.685
6.12,3.655,3.655,4.24,4.685
6.12,4.36,4.24,4.24,4.685
6.12,4.36,4.685,4.24,4.685
6.12,4.36,3.655,4.24,4.685
6.12,3.655,3.655,4.24,4.685
6.12,4.36,3.655,4.24,4.685
6.12,4.36,3.655,4.24,4.685
3.655,4.36,3.655,4.24,4.685
2.82,1.465,4.39,4.39,4.35
13.28,4.76,23.02,2.052,2.07
3.02,1.45,2.65,13.28,2.07
1.45,4,4.76,2.07,4
2.052,4.76,1.45,2.052,3.02
2.07,2.65,1.45,10.025,2.052
2.052,13.28,2.65,1.45,4.76
4,2.052,4.76,10.025,1.45
3.02,2.65,2.65,4,23.02
4,2.65,10.025,13.28,3.02
4.76,13.28,2.052,4,2.65
2.65,1.10333333333333,1.45,10.025,10.025
2.052,4,2.052,1.10333333333333,3.02
4,2.052,10.025,4.76,1.45
10.025,2.052,1.45,3.02,1.10333333333333
3.865,3.81,4.49,6.26,7.24
3.94,3.865,9.37,4.49,6.26
6.26,4.49,9.37,3.24,3.865
2.82,1.465,3.94666666666667,4.39,4.35
2.82,1.465,3.94666666666667,1.465,4.35
5.875,3.395,1.22333333333333,3.55,3.395
1.32714285714286,0.75,1.77,1.15,1.1
1.32714285714286,0.75,1.1,1.07,1.72
1.15,1.32714285714286,1.32714285714286,1.2,1.72
1.07,1.32714285714286,1.15,0.75,1.32714285714286
1.32714285714286,1.15,1.1,1.07,1.32714285714286
1.32714285714286,1.77,1.07,1.1,1.32714285714286
7.992628263,22.16026497,15.48603328,11.90944515,6.882323164
1.32714285714286,1.2,1.07,1.07,0.75
1.07,1.77,1.72,0.75,1.77
3.315,9.37,3.24,3.81,6.23
11.87628572,8.225371187,6.970817542,19.6128285,14.43048682
9.130060099,13.12505494,8.225371187,6.970817542,4.375685142
1.15,1.1,1.15,1.2,1.72
1.2,1.77,1.1,1.07,1.32714285714286
1.77,1.72,1.32714285714286,0.75,1.07
6.615,1.68,6.615,0.68,16.29
5.24,29.24,10.44,5.24,2.44
4.5,4.13,15.8,0.555,29.24
10.44,4.13,0.62625,0.62625,5.24
2.82,1.465,3.94666666666667,4.39,4.35
2.82,1.465,3.94666666666667,3.94666666666667,4.35
16.29,1.68,6.615,0.68,16.29
3.81,22.69,0.38,6.1,3.7
0.38,22.69,30.75,22.69,0.81
0.81,22.69,6.1,5.22,3.55
10.44,4.5,2.44,2.36,5.24
4.76,23.02,10.025,3.02,13.28
3.02,10.025,4.76,1.10333333333333,2.07
3.81,7.87,2.86,1.845,30.75
5.11,6.1,6.1,0.38,7.87
0.38,7.11,17.55,2.756,3.7
1.52,0.38,3.77666666666667,1.52,8.47
1.52,0.38,1.52,24.32,8.47
10.44,15.8,0.555,5.24,1.35
4.5,2.36,2.44,29.24,0.555
2.33,2.98,0.92,0.16,2.67
0.94,0.52,2.82,1.57,3.06
0.94,3.06,2.82,1.57,3.06
0.94,0.52,1.57,1.57,3.06
0.94,0.52,2.82,2.82,3.06
0.52,0.52,2.82,1.57,3.06
0.94,0.94,2.82,1.57,3.06
0.94,0.52,2.82,1.57,3.06
1.60333333333333,48.02,1.60333333333333,8.51,0.5375
0.5375,1.60333333333333,8.51,13.3,48.02
1.60333333333333,0.5375,1.60333333333333,1.60333333333333,48.02
4.41,9.89333333333333,7.81,9.81,4.41
5.5,7.4,26.03,4.41,4.6
1.22,4.6,2.52714285714286,30.66,9.31
3.765,1.22,4.41,4.41,2.76
4.41,9.89333333333333,9.81,2.52714285714286,9.31
2.52714285714286,4.41,26.03,9.31,5.5
1.2,1.72,1.77,1.2,1.32714285714286
0.75,1.15,1.72,1.32714285714286,1.07
1.2,0.75,1.15,1.72,1.1
0.16,2.67,2.22714285714286,30.5,2.67
4.24,1.93,2.7,2.67,0.92
8.09666666666667,0.28,10.74,7.47,8.09666666666667
8.09666666666667,0.28,8.09666666666667,76.82,4.45
2.7,1.93,2.33,2.22714285714286,0.24
2.22714285714286,2.22714285714286,8.19,4.24,0.92
0.68,0.16,2.22714285714286,8.44,0.24
7.1,2.492,3.375,6.37,3.19
5,5,5,5,5
1.3975,4.38,1.3975,1.6,2.77
0.495,4.38,0.495,1.6,2.77
1.3975,4.38,0.495,1.6,2.77
1.3975,4.38,0.495,1.6,2.77
1.3975,4.38,2.77,1.6,2.77
1.3975,4.38,1.3975,1.6,2.77
1.2,7.285,1.91,5.6575,2.715
2.62333333333333,2.62333333333333,2.79,4.33,2.715
0.69,29.62,1.53,1.19666666666667,6.78666666666667
8.45,2.3225,2.3225,2.87666666666667,6.78666666666667
2.87666666666667,1.19666666666667,2.11,2.3225,0.69
29.62,2.87666666666667,2.3225,2.55,7.815
5.76,8.73,1.03,1.03,6.78666666666667
2.87666666666667,5.76,2.11,5.76,8.73
1.51,8.22,7.2,7.2,6.72
1.93666666666667,8.22,1.93666666666667,7.2,6.72
1.51,8.22,1.93666666666667,6.72,6.72
5,5,5,5,5
6.86666666666667,6.545,76.88,1.455,24.8
1.43,7.12666666666667,3.995,24.8,0.695
4.805,7.76,3.995,76.88,8.03
3.995,1.455,4.9,4.805,6.86666666666667
1.68454545454545,4.805,3.06,1.455,4.75
1.455,6.86666666666667,10.89,18.72,24.05
