"geoid1","geoid2","geoid3","geoid4","geoid5","geoid6","geoid7","geoid8","geoid9","geoid10"
260210020001,260210009002,260210008002,260210021003,260210003001,260210014003,260210004001,260210003002,260210004002,260210010002
260210015001,260210025002,260210021003,260210003001,260210008002,260210003002,260210005001,260210004001,260210009002,260210020003
260210004002,260210021003,260210004001,260210020001,260210014003,260210022002,260210025002,260210010002,260210021003,260210020003
260210021003,260210004002,260210010002,260210003002,260210003001,260210025002,260210020001,260210009002,260210021001,260210006001
260210021001,260210008002,260210006001,260210015001,260210020001,260210009001,260210022002,260210025002,260210021003,260210020003
260210009001,260210021003,260210005001,260210009002,260210015001,260210021001,260210004001,260210006001,260210008002,260210020001
260210006001,260210009002,260210014003,260210022002,260210004002,260210008002,260210003002,260210009001,260210010002,260210021001
260210003002,260210025002,260210021003,260210020003,260210004002,260210004001,260210009001,260210021001,260210022002,260210005001
260210014003,260210004002,260210009002,260210021003,260210020003,260210009001,260210022002,260210005001,260210025002,260210021001
260210003001,260210020003,260210009002,260210005001,260210006001,260210004001,260210025002,260210022002,260210008002,260210003002
260210025002,260210005001,260210014003,260210010002,260210021003,260210021003,260210020001,260210003001,260210004001,260210009002
260210008002,260210021001,260210009002,260210004001,260210003001,260210006001,260210008002,260210025002,260210014003,260210015001
260210021001,260210010002,260210021003,260210003001,260210021003,260210004001,260210005001,260210008002,260210004002,260210009001
260210020003,260210020003,260210004002,260210005001,260210014003,260210009001,260210003002,260210021003,260210009002,260210010002
260210004001,260210021003,260210010002,260210003001,260210015001,260210005001,260210020001,260210022002,260210003002,260210009002
260210015001,260210004001,260210020003,260210020003,260210010002,260210003002,260210006001,260210021003,260210014003,260210020001
260210020001,260210020003,260210021003,260210008002,260210009002,260210025002,260210009001,260210003001,260210010002,260210021001
260210022002,260210003002,260210009001,260210008002,260210015001,260210009002,260210009001,260210004001,260210014003,260210021003
260210009001,260210014003,260210025002,260210009001,260210022002,260210015001,260210006001,260210005001,260210003002,260210004002
260210020001,260210020003,260210010002,260210025002,260210008002,260210004001,260210003001,260210005001,260210021003,260210014003
260210020003,260210003002,260210005001,260210009002,260210020001,260210015001,260210009001,260210008002,260210021003,260210021001
260210009002,260210008002,260210020003,260210010002,260210015001,260210004002,260210025002,260210009001,260210005001,260210020001
260210014003,260210025002,260210005001,260210015001,260210004001,260210021003,260210008002,260210005001,260210004002,260210010002
260210015001,260210020001,260210009002,260210010002,260210021001,260210020003,260210008002,260210025002,260210003001,260210006001
260210021001,260210021003,260210003001,260210005001,260210021003,260210014003,260210009002,260210020003,260210010002,260210008002
260210022002,260210005001,260210004001,260210010002,260210003002,260210015001,260210008002,260210020003,260210020001,260210020001
260210004001,260210020003,260210003002,260210015001,260210022002,260210005001,260210003002,260210014003,260210021003,260210021001
260210020001,260210020003,260210009001,260210009002,260210015001,260210003001,260210022002,260210006001,260210009001,260210014003
260210005001,260210008002,260210021001,260210009002,260210020001,260210022002,260210025002,260210003001,260210003002,260210009002
260210004002,260210020001,260210009001,260210003001,260210010002,260210003002,260210025002,260210008002,260210004001,260210009001
260210009002,260210015001,260210021001,260210006001,260210004001,260210005001,260210003002,260210025002,260210009001,260210022002
260210004002,260210021003,260210003001,260210022002,260210004001,260210021001,260210014003,260210021003,260210008002,260210003002
260210006001,260210022002,260210021001,260210020001,260210008002,260210003001,260210003002,260210020003,260210003001,260210005001
260210021003,260210021003,260210008002,260210025002,260210009002,260210004002,260210014003,260210021001,260210020001,260210020003
260210010002,260210003002,260210015001,260210009001,260210009002,260210003001,260210021001,260210009001,260210020001,260210004002
260210020003,260210009002,260210008002,260210003001,260210009001,260210004002,260210005001,260210008002,260210010002,260210021001
260210009002,260210021003,260210015001,260210004002,260210020001,260210006001,260210008002,260210009001,260210003001,260210022002
260210004002,260210008002,260210003001,260210005001,260210008002,260210020001,260210004001,260210009001,260210025002,260210015001
260210014003,260210009002,260210020003,260210005001,260210003001,260210021003,260210004002,260210025002,260210020001,260210014003
260210004002,260210008002,260210014003,260210021001,260210010002,260210004001,260210008002,260210009002,260210006001,260210025002
260210020001,260210021003,260210014003,260210010002,260210005001,260210003002,260210006001,260210022002,260210025002,260210014003
260210014003,260210021003,260210006001,260210021001,260210004001,260210009002,260210022002,260210010002,260210005001,260210003001
260210003001,260210021001,260210009001,260210015001,260210004002,260210006001,260210014003,260210003002,260210005001,260210008002
260210010002,260210008002,260210009001,260210021003,260210025002,260210006001,260210021001,260210014003,260210004001,260210020003
260210009001,260210009002,260210009001,260210005001,260210003002,260210004002,260210006001,260210021003,260210020003,260210008002
260210009002,260210010002,260210015001,260210021001,260210004001,260210005001,260210003001,260210020003,260210021003,260210020001
260210022002,260210010002,260210004002,260210004001,260210003002,260210006001,260210005001,260210006001,260210014003,260210008002
260210020003,260210021003,260210004001,260210020001,260210003001,260210015001,260210005001,260210025002,260210009002,260210021003
260210009001,260210005001,260210008002,260210020001,260210003002,260210004001,260210010002,260210006001,260210014003,260210004002
260210006001,260210008002,260210021001,260210020001,260210015001,260210025002,260210010002,260210003001,260210021003,260210004002
260210003001,260210009002,260210009001,260210006001,260210014003,260210006001,260210005001,260210004001,260210022002,260210004002
260210009002,260210021001,260210006001,260210009001,260210014003,260210004001,260210008002,260210010002,260210021003,260210004002
260210009002,260210021003,260210020001,260210003002,260210010002,260210014003,260210006001,260210004002,260210004001,260210005001
260210020001,260210005001,260210009002,260210021003,260210021003,260210025002,260210021001,260210010002,260210006001,260210022002
260210009002,260210015001,260210020003,260210010002,260210006001,260210008002,260210004001,260210020001,260210025002,260210003001
260210015001,260210008002,260210020001,260210003002,260210010002,260210014003,260210021003,260210006001,260210004001,260210020003
260210020001,260210003001,260210025002,260210009002,260210020003,260210015001,260210006001,260210014003,260210004001,260210006001
260210014003,260210021003,260210021003,260210022002,260210008002,260210021001,260210025002,260210005001,260210003001,260210003002
260210022002,260210008002,260210006001,260210021001,260210009001,260210015001,260210003002,260210004002,260210021003,260210010002
260210003001,260210010002,260210009001,260210003002,260210020003,260210009002,260210014003,260210020001,260210020003,260210021001
260210014003,260210004001,260210015001,260210006001,260210004002,260210022002,260210020003,260210009002,260210020001,260210005001
260210014003,260210020003,260210004002,260210021003,260210005001,260210021003,260210008002,260210006001,260210003002,260210009001
260210022002,260210009001,260210021003,260210004002,260210008002,260210005001,260210020003,260210003001,260210015001,260210021001
260210010002,260210025002,260210008002,260210015001,260210006001,260210014003,260210020003,260210004002,260210006001,260210020001
260210020003,260210004001,260210022002,260210021001,260210003001,260210004002,260210009002,260210014003,260210021003,260210009001
260210021001,260210021003,260210020001,260210014003,260210003001,260210009001,260210022002,260210010002,260210006001,260210003002
260210009002,260210004001,260210020003,260210025002,260210010002,260210004001,260210003001,260210004002,260210014003,260210005001
260210003002,260210006001,260210025002,260210020003,260210009001,260210021001,260210020001,260210005001,260210008002,260210010002
260210010002,260210006001,260210022002,260210021001,260210021003,260210021001,260210009001,260210020001,260210015001,260210004002
260210021001,260210004001,260210009001,260210020003,260210008002,260210014003,260210006001,260210006001,260210009002,260210003002
260210004002,260210009001,260210021001,260210020001,260210003002,260210020003,260210020001,260210021003,260210010002,260210014003
260210020003,260210010002,260210015001,260210020001,260210025002,260210021003,260210004002,260210006001,260210005001,260210021001
260210020003,260210022002,260210004001,260210020003,260210003002,260210008002,260210006001,260210009002,260210005001,260210014003
260210021003,260210009002,260210025002,260210021003,260210003002,260210020003,260210005001,260210015001,260210006001,260210004002
260210003002,260210010002,260210006001,260210020001,260210015001,260210004001,260210025002,260210020003,260210005001,260210009001
260210025002,260210020001,260210021001,260210022002,260210004002,260210006001,260210005001,260210015001,260210008002,260210009001
260210015001,260210009002,260210021003,260210025002,260210020001,260210014003,260210022002,260210003001,260210008002,260210009001
260210014003,260210003001,260210003002,260210020003,260210004002,260210005001,260210008002,260210025002,260210020001,260210006001
260210025002,260210021003,260210021003,260210009001,260210010002,260210003002,260210022002,260210003001,260210020001,260210004001
260210004001,260210021001,260210022002,260210021003,260210010002,260210020001,260210004002,260210014003,260210015001,260210004002
260210015001,260210004001,260210025002,260210014003,260210009001,260210020003,260210006001,260210021003,260210021003,260210021001
260210021003,260210025002,260210015001,260210020001,260210008002,260210004002,260210008002,260210009002,260210003001,260210022002
260210021003,260210005001,260210006001,260210008002,260210025002,260210003001,260210004001,260210015001,260210025002,260210003002
260210010002,260210004002,260210003002,260210003001,260210020001,260210025002,260210004002,260210004001,260210021001,260210020003
260210009001,260210003002,260210015001,260210021001,260210020001,260210009001,260210009002,260210004002,260210014003,260210005001
260210009002,260210003001,260210021003,260210009001,260210014003,260210020001,260210015001,260210025002,260210009002,260210004001
260210003002,260210020001,260210009002,260210014003,260210021003,260210004001,260210003001,260210021001,260210022002,260210021003
260210015001,260210009001,260210021003,260210006001,260210020003,260210020001,260210009002,260210022002,260210003001,260210008002
260210010002,260210021003,260210022002,260210025002,260210015001,260210021003,260210009001,260210006001,260210003001,260210014003
260210010002,260210021003,260210003002,260210014003,260210020001,260210021001,260210015001,260210005001,260210022002,260210022002
260210020003,260210009001,260210008002,260210003002,260210004001,260210006001,260210003001,260210008002,260210005001,260210010002
260210004001,260210020001,260210025002,260210008002,260210009002,260210022002,260210008002,260210005001,260210010002,260210021001
260210005001,260210008002,260210025002,260210014003,260210003001,260210015001,260210008002,260210022002,260210009002,260210003002
260210003002,260210015001,260210021003,260210021003,260210025002,260210020003,260210022002,260210010002,260210009002,260210008002
260210003002,260210004002,260210006001,260210014003,260210003001,260210005001,260210006001,260210009002,260210010002,260210021001
260210003001,260210010002,260210021001,260210003002,260210020003,260210020001,260210004002,260210004001,260210006001,260210009002
260210005001,260210020001,260210025002,260210022002,260210008002,260210006001,260210006001,260210020003,260210015001,260210014003
260210022002,260210020001,260210021001,260210003001,260210003002,260210005001,260210008002,260210009001,260210004002,260210014003
260210004002,260210021003,260210020003,260210010002,260210020001,260210015001,260210022002,260210004002,260210003001,260210005001
260210022002,260210005001,260210025002,260210003002,260210004002,260210020001,260210014003,260210009002,260210021003,260210006001
260210008002,260210003002,260210021003,260210009002,260210008002,260210003001,260210020003,260210015001,260210009001,260210010002
260210004001,260210014003,260210009002,260210008002,260210004002,260210004002,260210020003,260210009001,260210021001,260210003001
260210006001,260210020003,260210014003,260210021003,260210010002,260210009002,260210020001,260210008002,260210003001,260210022002
260210004002,260210014003,260210020003,260210004002,260210003002,260210003001,260210020001,260210015001,260210008002,260210021003
260210021001,260210004001,260210009002,260210025002,260210010002,260210020001,260210021003,260210020001,260210004002,260210020003
260210005001,260210020003,260210008002,260210014003,260210004002,260210004002,260210015001,260210021001,260210021003,260210009001
260210020001,260210006001,260210022002,260210003001,260210015001,260210021003,260210025002,260210010002,260210004001,260210005001
260210025002,260210010002,260210006001,260210004002,260210020001,260210014003,260210003001,260210021003,260210003002,260210005001
260210010002,260210021003,260210008002,260210021003,260210015001,260210004001,260210003001,260210021001,260210020001,260210025002
260210009002,260210022002,260210006001,260210005001,260210025002,260210003001,260210004002,260210022002,260210009001,260210015001
260210004001,260210021003,260210006001,260210022002,260210020003,260210015001,260210025002,260210014003,260210021003,260210020001
260210009001,260210015001,260210003002,260210021003,260210004001,260210003001,260210020001,260210025002,260210022002,260210014003
260210020003,260210022002,260210025002,260210008002,260210004001,260210021001,260210020001,260210021003,260210022002,260210004002
260210021003,260210021001,260210009002,260210003002,260210020001,260210010002,260210015001,260210006001,260210003001,260210005001
260210003002,260210014003,260210009002,260210021003,260210015001,260210004001,260210006001,260210009001,260210025002,260210004002
260210025002,260210006001,260210008002,260210021003,260210021001,260210005001,260210014003,260210015001,260210022002,260210020003
260210003002,260210006001,260210022002,260210003001,260210004002,260210021001,260210004001,260210008002,260210014003,260210015001
260210008002,260210014003,260210004001,260210009001,260210022002,260210009002,260210003002,260210009001,260210025002,260210010002
260210025002,260210003001,260210014003,260210022002,260210005001,260210008002,260210020003,260210006001,260210025002,260210003002
260210008002,260210009002,260210003001,260210010002,260210025002,260210004002,260210009001,260210004002,260210003002,260210015001
260210003002,260210015001,260210009002,260210022002,260210020003,260210021003,260210021003,260210021001,260210025002,260210004002
260210025002,260210003002,260210004001,260210021001,260210022002,260210004002,260210010002,260210021003,260210020001,260210009002
260210009001,260210004002,260210009001,260210009002,260210005001,260210003001,260210006001,260210015001,260210021001,260210004001
260210022002,260210004002,260210021003,260210021001,260210020003,260210003001,260210009002,260210010002,260210009001,260210020001
260210005001,260210014003,260210009002,260210004001,260210003002,260210020001,260210022002,260210009002,260210015001,260210004002
260210009001,260210020003,260210003002,260210008002,260210005001,260210020001,260210004001,260210015001,260210008002,260210010002
260210003001,260210009002,260210009001,260210020001,260210014003,260210008002,260210010002,260210004001,260210006001,260210020003
260210009001,260210004002,260210014003,260210003001,260210022002,260210025002,260210020003,260210006001,260210015001,260210021001
260210021003,260210003002,260210014003,260210015001,260210006001,260210025002,260210022002,260210010002,260210009001,260210021001
260210008002,260210020001,260210021003,260210009002,260210014003,260210004001,260210009002,260210006001,260210010002,260210003001
260210025002,260210020001,260210009001,260210022002,260210010002,260210015001,260210020003,260210008002,260210021001,260210025002
260210021001,260210003002,260210009002,260210009002,260210010002,260210004002,260210025002,260210015001,260210005001,260210022002
260210003001,260210021003,260210015001,260210008002,260210021001,260210009001,260210003002,260210021003,260210010002,260210020001
260210010002,260210025002,260210021003,260210009002,260210015001,260210003002,260210020003,260210020003,260210004002,260210008002
260210009002,260210014003,260210021001,260210006001,260210022002,260210004002,260210021003,260210021003,260210010002,260210005001
260210009001,260210008002,260210021001,260210014003,260210020003,260210020003,260210003001,260210022002,260210004002,260210004001
260210004002,260210005001,260210006001,260210008002,260210014003,260210010002,260210009001,260210003001,260210021003,260210020003
260210022002,260210009002,260210020001,260210015001,260210006001,260210009001,260210021001,260210015001,260210020003,260210025002
260210021003,260210020003,260210003001,260210020001,260210020003,260210003002,260210008002,260210010002,260210006001,260210005001
260210021003,260210010002,260210009002,260210009001,260210004002,260210005001,260210014003,260210020001,260210021003,260210020003
260210004001,260210025002,260210021003,260210008002,260210009001,260210021003,260210003002,260210005001,260210010002,260210009002
260210020003,260210009001,260210025002,260210015001,260210021003,260210006001,260210020001,260210020003,260210005001,260210003002
260210006001,260210022002,260210003002,260210003001,260210021003,260210020001,260210020003,260210004001,260210021003,260210008002
260210021003,260210020003,260210021001,260210010002,260210006001,260210008002,260210014003,260210020003,260210020001,260210009002
260210005001,260210009002,260210015001,260210020001,260210003001,260210010002,260210022002,260210025002,260210021003,260210004002
260210014003,260210020003,260210006001,260210005001,260210003002,260210009001,260210009002,260210020003,260210003001,260210021001
260210009002,260210008002,260210014003,260210021003,260210015001,260210003001,260210010002,260210004001,260210004002,260210009001
260210009001,260210009002,260210020003,260210003001,260210005001,260210021001,260210006001,260210022002,260210020003,260210010002
260210004001,260210009002,260210009001,260210010002,260210021001,260210003002,260210004002,260210005001,260210006001,260210021003
260210003002,260210008002,260210014003,260210021001,260210006001,260210022002,260210015001,260210009002,260210010002,260210004002
260210020001,260210015001,260210004002,260210009001,260210022002,260210003002,260210014003,260210009001,260210020003,260210021003
260210010002,260210008002,260210006001,260210004002,260210020003,260210009001,260210021001,260210025002,260210004001,260210009002
260210009002,260210004002,260210003002,260210025002,260210009001,260210015001,260210021003,260210008002,260210010002,260210004001
260210020003,260210009002,260210005001,260210006001,260210010002,260210009001,260210003001,260210025002,260210003002,260210021003
260210009002,260210014003,260210003001,260210025002,260210009001,260210004002,260210004002,260210020001,260210021003,260210003002
260210015001,260210021001,260210009001,260210020003,260210004001,260210020003,260210004002,260210009002,260210020001,260210006001
260210022002,260210006001,260210003002,260210004001,260210010002,260210021003,260210009001,260210009002,260210025002,260210005001
260210015001,260210009001,260210004001,260210009002,260210003002,260210015001,260210022002,260210020001,260210014003,260210004002
260210009001,260210010002,260210005001,260210020001,260210015001,260210003002,260210004001,260210004002,260210014003,260210025002
260210008002,260210006001,260210004002,260210014003,260210025002,260210003001,260210009001,260210021001,260210015001,260210008002
260210005001,260210025002,260210021003,260210025002,260210014003,260210009001,260210003001,260210006001,260210020001,260210008002
260210010002,260210004001,260210003001,260210009002,260210021003,260210004002,260210008002,260210025002,260210020003,260210009001
260210009002,260210020001,260210009001,260210006001,260210003002,260210021003,260210015001,260210021003,260210010002,260210005001
260210020001,260210004001,260210015001,260210008002,260210021001,260210009002,260210022002,260210010002,260210025002,260210021003
260210003002,260210003001,260210022002,260210004001,260210009002,260210010002,260210014003,260210006001,260210020003,260210004002
260210003001,260210015001,260210004002,260210021003,260210003002,260210006001,260210008002,260210021001,260210010002,260210025002
260210014003,260210009002,260210004002,260210004001,260210008002,260210015001,260210006001,260210010002,260210021001,260210020001
260210006001,260210004002,260210008002,260210004001,260210025002,260210015001,260210005001,260210009001,260210021003,260210003001
260210021003,260210008002,260210022002,260210020003,260210009002,260210003002,260210014003,260210008002,260210020001,260210006001
260210008002,260210022002,260210009001,260210010002,260210004002,260210003002,260210009002,260210021003,260210021001,260210014003
260210025002,260210005001,260210015001,260210006001,260210004002,260210003001,260210022002,260210009001,260210008002,260210008002
260210009002,260210004002,260210004001,260210009002,260210006001,260210008002,260210009001,260210021003,260210003002,260210015001
260210009002,260210004002,260210025002,260210014003,260210009001,260210022002,260210004001,260210006001,260210010002,260210008002
260210008002,260210010002,260210004001,260210022002,260210020001,260210005001,260210014003,260210004002,260210009002,260210009001
260210003002,260210022002,260210020001,260210020003,260210009002,260210021001,260210009001,260210008002,260210025002,260210021003
260210008002,260210003002,260210009002,260210008002,260210014003,260210005001,260210015001,260210021001,260210009001,260210004002
260210021003,260210009001,260210022002,260210015001,260210009002,260210003001,260210009001,260210021001,260210025002,260210008002
260210006001,260210025002,260210008002,260210020003,260210022002,260210021003,260210015001,260210010002,260210003001,260210009001
260210009002,260210021003,260210005001,260210003002,260210009001,260210021001,260210009002,260210020001,260210003001,260210008002
260210006001,260210021001,260210015001,260210022002,260210020003,260210021003,260210014003,260210008002,260210009002,260210003001
260210004002,260210025002,260210009001,260210021003,260210022002,260210003001,260210014003,260210008002,260210021003,260210021001
260210008002,260210021001,260210015001,260210014003,260210010002,260210004001,260210020001,260210021003,260210009002,260210020003
260210025002,260210009002,260210021003,260210021001,260210004001,260210008002,260210009001,260210022002,260210020001,260210003001
260210015001,260210004001,260210014003,260210008002,260210004002,260210014003,260210021001,260210021003,260210020001,260210022002
260210014003,260210021001,260210021003,260210006001,260210004001,260210004002,260210021001,260210020001,260210020003,260210003002
260210004001,260210005001,260210021003,260210025002,260210020003,260210022002,260210009001,260210010002,260210003001,260210021003
260210010002,260210003001,260210014003,260210005001,260210009001,260210021001,260210008002,260210020003,260210006001,260210015001
260210010002,260210020001,260210022002,260210025002,260210004002,260210003002,260210015001,260210009001,260210020003,260210003001
260210009001,260210006001,260210003001,260210010002,260210008002,260210014003,260210020003,260210022002,260210021001,260210009001
260210009002,260210020001,260210021001,260210004001,260210009001,260210022002,260210010002,260210003002,260210009001,260210015001
260210009002,260210020003,260210004002,260210014003,260210022002,260210025002,260210009001,260210005001,260210021001,260210020001
260210010002,260210020001,260210021003,260210004001,260210009001,260210025002,260210008002,260210009002,260210015001,260210004002
260210021003,260210003001,260210004002,260210005001,260210008002,260210008002,260210020003,260210020001,260210006001,260210009001
260210014003,260210020003,260210004002,260210006001,260210010002,260210009001,260210021001,260210009001,260210021003,260210003002
260210003002,260210015001,260210008002,260210004001,260210022002,260210009001,260210006001,260210010002,260210005001,260210020003
260210020003,260210020001,260210010002,260210009002,260210014003,260210009001,260210015001,260210022002,260210008002,260210006001
260210021001,260210003001,260210004001,260210014003,260210005001,260210009002,260210021003,260210009001,260210015001,260210008002
260210004001,260210008002,260210006001,260210009002,260210020001,260210009001,260210021001,260210005001,260210020001,260210021003
260210009001,260210009002,260210010002,260210021003,260210005001,260210004001,260210009002,260210021001,260210003002,260210020001
260210010002,260210020003,260210020001,260210009001,260210021001,260210015001,260210003002,260210004001,260210005001,260210006001
260210021003,260210020003,260210020003,260210008002,260210020001,260210004002,260210009002,260210022002,260210009001,260210010002
260210003002,260210009001,260210021003,260210004002,260210003001,260210006001,260210022002,260210021001,260210009002,260210014003
260210003001,260210006001,260210025002,260210021003,260210008002,260210020003,260210003002,260210015001,260210020001,260210020003
260210014003,260210025002,260210015001,260210009002,260210009001,260210003001,260210021001,260210003002,260210008002,260210021003
260210005001,260210006001,260210021003,260210014003,260210004002,260210003001,260210020003,260210020003,260210020001,260210009002
260210021003,260210020003,260210004001,260210005001,260210006001,260210004002,260210014003,260210021003,260210008002,260210009002
260210015001,260210004001,260210003002,260210006001,260210021003,260210005001,260210009002,260210008002,260210022002,260210014003
260210008002,260210004001,260210014003,260210009001,260210025002,260210021003,260210020003,260210021001,260210004002,260210003002
260210003002,260210022002,260210020001,260210004001,260210020003,260210014003,260210021001,260210025002,260210006001,260210004001
260210004001,260210021003,260210004002,260210020003,260210008002,260210021003,260210015001,260210006001,260210020001,260210009001
260210010002,260210003002,260210009001,260210010002,260210008002,260210025002,260210009002,260210021003,260210004002,260210021001
260210021003,260210020001,260210004001,260210004002,260210009001,260210005001,260210021003,260210006001,260210003002,260210015001
260210025002,260210020001,260210008002,260210014003,260210021001,260210010002,260210009001,260210015001,260210003001,260210004001
260210025002,260210008002,260210020001,260210006001,260210021001,260210003001,260210021003,260210004001,260210021003,260210005001
260210008002,260210009001,260210022002,260210014003,260210010002,260210004001,260210010002,260210006001,260210020001,260210003002
260210004001,260210009001,260210022002,260210008002,260210009001,260210014003,260210010002,260210006001,260210020003,260210025002
260210009001,260210009002,260210015001,260210009002,260210010002,260210022002,260210003002,260210020001,260210021001,260210021003
